question,tag1,tag2,tag3
How can I perform my duty as a mother without attachment?,,,
Do these days children don’t want to hear any advice whereas Arjuna in Mahabharata listens to Krishna.  How can I do this in my lufe,devotion,surrender,
I feel I am very different from people around me.  I can see thru them sometimes.  How can I be polite in such a situation,,,
I get angry when I see people’s stupidity,judgment,emotional control,self-control
How to be brave?,bravery,,
When wrong anger is directed towards me.  How do I respond?,patience,inner peace,detachment
How to be humble,self-improvement,surrender,detachment
How to be god,devotion,surrender,
How to be humbke,,,
how to be always sad,detachment,inner peace,emotional well-being
how to be a good boy,self-improvement,,
what happenes when i feel stress and how could i come out from this situation,mental health,inner peace,calmness
How to stay positive,resilience,inner peace,
What you will say in short,spiritual guidance,direction,meaning
You should interact with me to know my situation right,,,
"Surrender , does it mean zero expectation",letting go,,
How to become a good student,discipline,focus,motivation
How to stay confident always,,,
how to be honest,dharma,values and priorities,
How to be super calm always,inner peace,peace,emotional balance
how to be down to earth,self-awareness,emotional balance,inner peace
What does krishna say when in a dilemma from being white or abide by law,dharma,decision making,duty
Abiding the law of the land or being morally right .. what needs to be chosen,,,
"To protect our land , some times we put our inner morale at stop and do what is required to protect our land even if it’s immoral …. Is this right ?",,,
But krishna asks Arjuna to wage war against his own relatives which is morally wrong … how can that be explained,morality,duty,
What should I do to control lust,,,
"Hi, although I know I should be patient, sometimes anger and disappointment takes over",anger,,
When I exhibit anger and disappointment. How do I handle,,,
ham zindagi meh kush kaise rehsakte hai,peace,,
meh kush kaise reh saktha hu?,inner peace,peace,emotional well-being
मुझे तनाव हो रहा है,anxiety,,
naanu khushiyaagi heege irbodu?,,,
मी आनंदी कसा राहू शकतो,inner peace,emotional well-being,
ನಾನು ಸಂತೋಷವಾಗಿರಲು ಹೇಗೆ ಸಾಧ್ಯ?,,,
मैं खुश कैसे रह सकता हूँ?,,,
मी आनंदी कसा राहू शकतो?,,,
నేను ఎలా సంతోషంగా ఉండగలను?,,,
நான் எப்படி சந்தோஷமாக இருக்க முடியும்?,peace,,
હું કેવી રીતે ખુશ રહી શકું?,,,
ഞാൻ എങ്ങനെ സന്തോഷമായി ഇരിക്കാം?,emotional well-being,inner peace,
আমি কীভাবে সুখী থাকতে পারি?,,,
ਮੈਂ ਖੁਸ਼ ਕਿਵੇਂ ਰਹਿ ਸਕਦਾ ਹਾਂ?,,,
अहं कथं सुखी भवामि?,peace,inner peace,
how to be happy?,emotional well-being,inner peace,peace
Main khush kaise reh sakta hoon?,emotional well-being,inner peace,
neenu nan jothe horgade barthya?,emotional hurt,judgment,
meh aapko kaisa lagtha hu?,identity,self-worth,
Meh ek achha vidyarthi kaise ban saktha hu?,discipline,focus,motivation
how to have a good heart,empathy,love,emotional well-being
BhagvadGPT can only help you with daily life questions whose answer you want from the gita,direction,clarity,
How to explain children about importance of time,discipline,focus,duty
Does Gita say anything about subramanya,faith,spiritual connection,
What about fathers love,love,,
What is the duty of children,,,
Do children have duties to their parents,,,
Does a daughter have any duty,,,
Do grandparents have my duty,family,responsibility,
Is it all right not to do any duty but be in meditation,dharma,,
Are words important during service,devotion,duty,detachment
"I don’t like taking care of my parents, but I do.  Will I get full benefit of the blessing",,,
how to stay down to earth,balance,mindfulness,inner peace
i dont feel like studying,ambition vs surrender,anger,
how to study when i dont feel like,,,
is it okay to leave studies and do bhakti,balance,,
how to study with focus,focus,,
How to be always happy,emotional well-being,inner peace,
How to be sucessful,purpose,motivation,discipline
How to be focused,,,
"According to Gita , how to come out of suppression",emotional expression,letting go,inner peace
"How to raise from long term abuse , or torcher",emotional healing,resilience,self-worth
i am feelig depressed,mental health,emotional well-being,
i am feeling depressed,,,
muje bohoth depression feel ho raha hai,mental health,sadness,emotional well-being
What is karma,,,
Is Bhagavadgita swaths or advaitha,enlightenment,self-discovery,spiritual growth
Does Bhagavadgita dwells on dwaitha philosophy,devotion,detachment,
Is god there within me,spiritual connection,faith,
"Is god is there in actions, is going to temple futile",devotion,karma,
"If god is there in all actions and beings, why should I go to twmple",faith,,
Temples are as crowded as a tourist spot.  How can I find peace in temple,,,
"What about the temple practises of offering coconut, kumkumfliwers.  Is this important",faith,,
Is putting on Hundi good today?,giving,karma,
I like dressing up.  Is that bad according to gita,,,
"To take pride in oneself, is it wrong?",humility,self-worth,self-esteem
Is karma related to the present state of my life,duty,,
how to be confident,self-confidence,self-esteem,self-worth
how to be satisfied,,,
hoe to be good,dharma,morality,spiritual growth
how can we correct our mistakes,self-improvement,karma,
How to be good student,discipline,focus,consistency
How to lead a peaceful life,,,
"In a dilemma , need a direction ..? How do one distinguish ?",clarity,spiritual guidance,decision making
Meh kaun hu?,identity,self-awareness,
Naan yaaru?,identity,self-discovery,existential crisis
Answer in kannada,,,
how to be a good person,dharma,self-improvement,values and priorities
How to be simple in this chaotic world,inner peace,calmness,mindfulness
I feel I am being used by most people for their gains.  I see through it late,relationship issues,emotional hurt,self-worth
I am very gulliy,,,
How can I avoid being gullible?,clarity,self-awareness,emotional intelligence
I give in to temptation.  How to exert self control,,,
How to be angry,emotional regulation,self-control,emotional expression
how to work hard,motivation,discipline,
